county,liters_sold_per_adult
Polk,80.51025180088303
Black Hawk,72.31551998201238
Scott,70.3229788730813
Pottawattamie,68.56663126498299
Linn,68.43860020248601
Johnson,62.91127479815222
Woodbury,60.300233295815055
Dubuque,55.68615988114479
Story,51.90689399825195
Dallas,48.84163510101009
