county,liters_sold_per_adult
Polk,80.51025180088308
Black Hawk,72.31551998201242
Scott,70.32297887308123
Pottawattamie,68.56663126498304
Linn,68.4386002024859
Johnson,62.91127479815221
Woodbury,60.300233295815055
Dubuque,55.686159881144825
Story,51.9068939982519
Dallas,48.84163510101008
